State,Area name,"Less than a high school diploma, 2013-17","High school diploma only, 2013-17","Some college or associate's degree, 2013-17","Bachelor's degree or higher, 2013-17","Percent of adults with less than a high school diploma, 2013-17","Percent of adults with a high school diploma only, 2013-17","Percent of adults completing some college or associate's degree, 2013-17","Percent of adults with a bachelor's degree or higher, 2013-17"
US,United States,"27,437,114","59,093,612","62,853,315","66,887,603",12.7,27.3,29.1,30.9
AL,Alabama,"481,059","1,012,551","979,449","803,578",14.7,30.9,29.9,24.5
AL,Autauga County,"4,521","12,363","10,697","9,176",12.3,33.6,29.1,25
AL,Baldwin County,"13,997","39,771","45,286","43,968",9.8,27.8,31.7,30.7
AL,Barbour County,"4,960","6,549","4,707","2,218",26.9,35.5,25.5,12
AL,Bibb County,"2,833","6,958","3,971","2,097",17.9,43.9,25,13.2
AL,Blount County,"7,980","12,740","13,583","5,172",20.2,32.3,34.4,13.1
AL,Bullock County,"2,113","2,699","1,575",990,28.6,36.6,21.4,13.4
AL,Butler County,"2,645","5,637","3,423","2,253",18.9,40.4,24.5,16.1
AL,Calhoun County,"13,254","25,440","26,168","14,113",16.8,32.2,33.1,17.9
AL,Chambers County,"4,537","9,109","6,894","3,158",19.1,38.4,29.1,13.3
AL,Cherokee County,"3,850","7,179","5,424","2,344",20.5,38.2,28.9,12.5
AL,Chilton County,"5,391","12,902","6,920","4,484",18.2,43.4,23.3,15.1
AL,Choctaw County,"1,881","3,766","2,702","1,100",19.9,39.9,28.6,11.6
AL,Clarke County,"3,136","7,503","4,089","2,193",18.5,44.3,24.2,13
AL,Clay County,"2,525","3,188","2,772",970,26.7,33.7,29.3,10.3
AL,Cleburne County,"2,512","3,887","2,705","1,283",24.2,37.4,26,12.4
AL,Coffee County,"5,075","10,190","11,594","7,877",14.6,29.3,33.4,22.7
AL,Colbert County,"6,181","12,958","12,077","7,207",16.1,33.7,31.4,18.8
AL,Conecuh County,"1,842","4,208","1,954",768,21,48,22.3,8.8
AL,Coosa County,"1,887","3,123","2,215",892,23.2,38.5,27.3,11
AL,Covington County,"4,743","9,397","8,177","4,099",18,35.6,31,15.5
AL,Crenshaw County,"1,981","3,625","2,420","1,562",20.7,37.8,25.2,16.3
AL,Cullman County,"10,147","20,338","17,778","8,457",17.9,35.9,31.3,14.9
AL,Dale County,"4,673","10,839","12,189","5,587",14,32.6,36.6,16.8
AL,Dallas County,"5,025","9,822","8,193","3,809",18.7,36.6,30.5,14.2
AL,DeKalb County,"12,571","16,211","12,710","6,202",26.4,34,26.6,13
AL,Elmore County,"7,531","18,829","16,289","12,629",13.6,34.1,29.5,22.8
AL,Escambia County,"4,927","11,346","6,477","3,146",19,43.8,25,12.1
AL,Etowah County,"12,156","23,315","24,155","12,119",16.9,32.5,33.7,16.9
AL,Fayette County,"2,385","4,444","3,174","1,712",20.4,37.9,27.1,14.6
AL,Franklin County,"4,903","7,767","5,286","2,778",23.6,37.5,25.5,13.4
AL,Geneva County,"3,920","6,655","6,015","2,076",21,35.7,32.2,11.1
AL,Greene County,"1,365","2,156","1,646",663,23.4,37,28.2,11.4
AL,Hale County,"1,925","4,343","2,429","1,464",18.9,42.7,23.9,14.4
AL,Henry County,"2,348","4,105","3,596","2,074",19.4,33.9,29.7,17.1
AL,Houston County,"10,455","22,694","23,186","14,903",14.7,31.9,32.5,20.9
AL,Jackson County,"6,893","15,080","10,087","4,956",18.6,40.7,27.3,13.4
AL,Jefferson County,"47,558","119,622","137,189","142,679",10.6,26.8,30.7,31.9
AL,Lamar County,"2,034","3,736","2,851","1,317",20.5,37.6,28.7,13.3
AL,Lauderdale County,"8,934","22,269","17,735","14,230",14.1,35.3,28.1,22.5
AL,Lawrence County,"5,136","9,546","6,308","2,380",22,40.8,27,10.2
AL,Lee County,"9,303","22,660","28,267","32,222",10.1,24.5,30.6,34.9
AL,Limestone County,"10,242","19,353","17,937","15,494",16.3,30.7,28.5,24.6
AL,Lowndes County,"1,698","2,549","1,847",971,24,36.1,26.1,13.7
AL,Macon County,"2,258","3,968","3,588","2,466",18.4,32.3,29.2,20.1
AL,Madison County,"22,014","50,525","69,895","97,322",9.2,21.1,29.2,40.6
AL,Marengo County,"2,279","5,375","3,814","2,089",16.8,39.6,28.1,15.4
AL,Marion County,"4,134","7,563","6,831","2,878",19.3,35.3,31.9,13.4
AL,Marshall County,"12,661","19,782","19,593","11,212",20,31.3,31,17.7
AL,Mobile County,"37,870","89,951","84,512","63,545",13.7,32.6,30.6,23
AL,Monroe County,"2,513","6,910","3,528","1,843",17,46.7,23.8,12.5
AL,Montgomery County,"21,382","38,205","41,568","48,163",14.3,25.6,27.8,32.3
AL,Morgan County,"14,330","24,521","26,101","17,142",17.5,29.9,31.8,20.9
AL,Perry County,"1,171","2,458","1,238",991,20,42,21.1,16.9
AL,Pickens County,"2,870","5,384","4,308","1,679",20.2,37.8,30.3,11.8
AL,Pike County,"3,725","6,493","4,579","4,860",18.9,33,23.3,24.7
AL,Randolph County,"3,344","5,717","4,264","2,269",21.4,36.7,27.3,14.6
AL,Russell County,"6,618","12,536","13,020","6,536",17.1,32.4,33.6,16.9
AL,St. Clair County,"9,533","21,794","19,278","9,643",15.8,36.2,32,16
AL,Shelby County,"11,226","29,544","40,834","59,659",7.9,20.9,28.9,42.2
AL,Sumter County,"1,429","3,276","2,037","1,502",17.3,39.7,24.7,18.2
AL,Talladega County,"10,939","19,706","17,852","7,606",19.5,35.1,31.8,13.6
AL,Tallapoosa County,"5,486","9,728","8,185","5,210",19.2,34,28.6,18.2
AL,Tuscaloosa County,"14,807","36,791","35,722","37,825",11.8,29.4,28.5,30.2
AL,Walker County,"9,019","16,881","14,287","5,010",20,37.3,31.6,11.1
AL,Washington County,"2,038","5,200","3,131","1,238",17.6,44.8,27,10.7
AL,Wilcox County,"1,511","3,130","1,733",868,20.9,43.2,23.9,12
AL,Winston County,"3,929","6,242","4,854","2,230",22.8,36.2,28.1,12.9
AK,Alaska,"36,177","131,293","170,151","137,821",7.6,27.6,35.8,29
AK,Aleutian Islands,,,,,,,,
AK,Aleutians East Borough,364,"1,063",835,293,14.2,41.6,32.7,11.5
