,unemployment_rate,median_household_income,ave_housingprice,grading_score,Percentage of good days,crime rate
Los Angeles County,0.12195121951219512,0.31751452747476816,0.32525213343677273,0.38511627906976775,0.021745846491830298,0.3031208615041473
San Diego County,0.07926829268292682,0.4594250178407585,0.26987975174553913,0.6232558139534885,0.16154057393931073,0.13690144281034367
Orange County,0.04878048780487804,0.5866423692527272,0.3313615205585726,0.6139534883720938,0.3634662913634492,0.1784170906809786
Riverside County,0.15243902439024387,0.3030380263023754,0.08669511249030254,0.2986046511627909,0.06523753947549088,0.2836568620617551
San Bernardino County,0.13414634146341464,0.2583596696911,0.10628394103956554,0.2493023255813953,0.0,0.2806771450477452
Santa Clara County,0.03048780487804878,1.0,0.6474010861132661,0.7897674418604654,0.6492688452560759,0.23592040147766086
Alameda County,0.0548780487804878,0.7079467835661128,0.4746896819239721,0.7125581395348841,0.49083482081559804,0.5583832857043285
Sacramento County,0.1158536585365853,0.2926266693852585,0.11346004654771139,0.5227906976744183,0.3945317863517781,0.2841709068097861
Contra Costa County,0.0670731707317073,0.7017280048934651,0.30682699767261434,0.7051162790697676,0.5933509542770837,0.29347598801143093
Fresno County,0.3536585365853658,0.1459883780201856,0.03258339798293247,0.19720930232558143,0.22056501441713586,0.4086132989475151
Kern County,0.396341463414634,0.12626159649301671,0.015709852598913887,0.09767441860465143,0.13979472744748045,0.4371994145117447
Ventura County,0.1097560975609756,0.5408298501376287,0.2616369278510473,0.525581395348838,0.4131710833447756,0.15047570920749986
San Francisco County,0.012195121951219495,0.8870042817820369,1.0,0.8753488372093026,0.7611046272140602,0.9999999999999999
San Mateo County,0.0,0.9673768987664391,0.8239914662529092,0.7962790697674418,0.8170225181930524,0.16439848051857536
San Joaquin County,0.26219512195121947,0.2670251809562647,0.08873157486423583,0.210232558139535,0.4784086228202664,0.42488847842754585
Stanislaus County,0.2926829268292683,0.24121979814456118,0.07593095422808377,0.17302325581395372,0.38831868735411235,0.4142068028159197
Sonoma County,0.042682926829268275,0.5035554082985014,0.32011249030256006,0.6009302325581398,0.8698338596732117,0.11191364048233082
Tulare County,0.46951219512195114,0.08131562850443474,0.018037238169123337,0.0,0.19260606892763973,0.2722607513765945
Santa Barbara County,0.1097560975609756,0.39064889387297386,0.3029480217222653,0.481860465116279,0.6710146917479062,0.17719732348226114
Monterey County,0.274390243902439,0.3860995004587624,0.2580488750969744,0.1897674418604649,0.8480880131813814,0.24566111382170497
